Codigo Linha,Nome da Linha ,Hora Partida,Sentido
DFSP0053016,BRASILIA (DF) - SAO PAULO (SP),14:00,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
DFSP0053016,SAO PAULO (SP) - BRASILIA (DF),15:00,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
DFSP0053016,BRASILIA (DF) - SAO PAULO (SP),18:45,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
DFSP0053016,BRASILIA (DF) - SAO PAULO (SP),22:00,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
DFSP0053016,SAO PAULO (SP) - BRASILIA (DF),22:30,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
DFSP0053016,SAO PAULO (SP) - BRASILIA (DF),18:45,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
DFSP0053055,BRASILIA (DF) - SAO PAULO (SP),08:00,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
DFSP0053055,SAO PAULO (SP) - BRASILIA (DF),12:30,volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
MGDF0215001,ITACARAMBI (MG) - BRASÍLIA (DF),15:00,ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
MGDF0215001,ITACARAMBI (MG) - BRASÍLIA (DF),15:00,ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
MGDF0215001,BRASÍLIA (DF) - ITACARAMBI (MG),17:40,volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
MGDF0215001,BRASÍLIA (DF) - ITACARAMBI (MG),17:40,volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
GORN0053034,GOIANIA (GO) - NATAL (RN),15:30,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
GORN0053034,GOIANIA (GO) - NATAL (RN),10:00,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
GORN0053034,GOIANIA (GO) - NATAL (RN),18:20,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
GORN0053033,GOIANIA (GO) - NATAL (RN),04:00,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
GORN0053033,GOIANIA (GO) - NATAL (RN),10:00,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
RNSP0053046,NATAL (RN) - SAO PAULO (SP),01:00,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
RNSP0053046,NATAL (RN) - SAO PAULO (SP),14:00,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
RNSP0053039,NATAL (RN) - SAO PAULO (SP),08:00,Ida
RNSP0053039,NATAL (RN) - SAO PAULO (SP),08:00,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
RNSP0053039,NATAL (RN) - SAO PAULO (SP),08:00,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
RNSP0053041,NATAL (RN) - SAO PAULO (SP),10:30,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
RNSP0053041,NATAL (RN) - SAO PAULO (SP),17:00,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
DFGO0053049,Brasília (DF) - Goiânia (GO),07:00,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
DFGO0053049,Goiânia (GO) - Brasília (DF),07:00,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
DFGO0053049,Brasília (DF) - Goiânia (GO),09:00,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
DFGO0053049,Goiânia (GO) - Brasília (DF),09:00,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
DFGO0053049,Brasília (DF) - Goiânia (GO),11:00,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
DFGO0053049,Goiânia (GO) - Brasília (DF),11:00,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
DFGO0053049,Brasília (DF) - Goiânia (GO),13:00,Ida
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
DFGO0053049,Goiânia (GO) - Brasília (DF),13:00,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
DFGO0053049,Goiânia (GO) - Brasília (DF),14:30,Volta
Codigo Linha,Nome da Linha ,Hora Partida,Sentido
